ODBIORCY_ID_FK;KONTA_STATUSY_SYMBOL;DOKUMENT_ID;DOKUMENT_NUMER;KWOTA_BRUTTO_ORYGINAL;KWOTA_NETTO_ORYGINAL;KWOTA_VAT_ORYGINAL;KWOTA_POZOSTALA;DATA_WYSTAWIENIA;DATA_ZAPLATY;DATA_KSIEGOWANIA
1081916;K;23283534;8410412659;-21,72;-17,66;-4,06;-21,72;07/08/2013 00:00:00;07/08/2013 00:00:00;08/11/2018 00:00:00
1081963;K;23134910;7810153476;-988,98;-804,08;-184,9;-327,1;05/04/2013 00:00:00;19/04/2013 00:00:00;08/11/2018 00:00:00
1082345;O;25604338;7856174766;-1648,09;-1339,91;-308,18;-283,86;01/09/2014 00:00:00;15/09/2014 00:00:00;08/11/2018 00:00:00
1082936;K;28317866;9520022044;-333,11;-270,84;-62,27;-50,2;24/01/2014 00:00:00;24/01/2014 00:00:00;08/11/2018 00:00:00
1082945;K;23169814;7855876216;-90,27;-73,38;-16,89;-5,23;11/04/2014 00:00:00;25/04/2014 00:00:00;08/11/2018 00:00:00
1083421;K;23127831;3245020566;-664,88;-540,55;-124,33;-198,62;07/06/2013 00:00:00;07/06/2013 00:00:00;08/11/2018 00:00:00
1083712;K;20027756;3175009592;-81,6;-66,36;-15,24;-50,81;02/10/2014 00:00:00;16/10/2014 00:00:00;08/11/2018 00:00:00
1083779;K;23173148;1335011684;-16,24;-13,19;-3,05;-15,78;02/10/2012 00:00:00;16/10/2012 00:00:00;08/11/2018 00:00:00
1083945;K;23092760;8410688099;-49,22;-40,02;-9,2;-19,46;10/12/2013 00:00:00;24/12/2013 00:00:00;08/11/2018 00:00:00
1084093;K;23157446;6735517281;-156,24;-127,02;-29,22;-126,01;17/12/2012 00:00:00;02/01/2013 00:00:00;08/11/2018 00:00:00
1084093;K;23165255;0555019051;-3,73;-3,03;-0,7;-3,73;07/03/2013 00:00:00;21/03/2013 00:00:00;08/11/2018 00:00:00
1084290;K;28296142;8605019408;-6,46;-5,25;-1,21;-6,44;06/12/2013 00:00:00;20/12/2013 00:00:00;08/11/2018 00:00:00
1084415;K;28096046;3175000591;-8,46;-6,87;-1,59;-8,46;06/02/2013 00:00:00;20/02/2013 00:00:00;08/11/2018 00:00:00
1084993;K;28275474;9520008885;-953,1;-774,9;-178,2;-207,34;28/03/2013 00:00:00;11/04/2013 00:00:00;08/11/2018 00:00:00
1085216;K;19140995;8411064045;-147,58;-119,99;-27,59;-147,58;22/05/2014 00:00:00;05/06/2014 00:00:00;08/11/2018 00:00:00
1085216;K;28685109;0985003644;-39,95;-32,49;-7,46;-32,72;06/08/2014 00:00:00;06/08/2014 00:00:00;08/11/2018 00:00:00
